"23","1.00","0","77.0503","28.3941","badshahpur",\N,\N,"badshahpur","1.00,40133.00,1223.00,1185.00,106.00,594.00,633.00,602.00,639.00","","28.406654","77.065834","28.389257","77.044800","28.394949","77.050461","28.406654","77.065834","28.389257","77.044800","APPROXIMATE","Long name : Badshahpur, Types : sublocality_level_2,sublocality,political, Short name : Badshahpur","Long name : Badshahpur, Types : sublocality_level_2,sublocality,political, Short name : Badshahpur","Long name : Badshahpur, Types : sublocality_level_2,sublocality,political, Short name : Badshahpur","Long name : Badshahpur, Types : sublocality_level_2,sublocality,political, Short name : Badshahpur","Long name : Badshahpur, Types : sublocality_level_2,sublocality,political, Short name : Badshahpur","Long name : Badshahpur, Types : sublocality_level_2,sublocality,political, Short name : Badshahpur",\N,\N,\N,\N,"ChIJe9tRVvAiDTkRkBva6PRtnVo","Badshahpur, Sector 66, Gurgaon, Haryana, India","country,political"
"24","1.00","1","76.9240","28.3025","baghanki",\N,\N,"baghanki","1.00,1185.00","","28.323191","76.949417","28.287830","76.904984","28.302525","76.923973","28.323191","76.949417","28.287830","76.904984","APPROXIMATE","Long name : Baghanki, Types : locality,political, Short name : Baghanki","Long name : Baghanki, Types : locality,political, Short name : Baghanki","Long name : Baghanki, Types : locality,political, Short name : Baghanki","Long name : Baghanki, Types : locality,political, Short name : Baghanki","Long name : Baghanki, Types : locality,political, Short name : Baghanki",\N,\N,\N,\N,\N,"ChIJU-vBge87DTkRBMTWyk_nsaY","Baghanki, Haryana 122413, India","postal_code"
"25","1.00","0","77.0133","28.5321","bajghera",\N,\N,"bajghera","1.00,1003.00,1185.00,1223.00,40601.00","","28.545925","77.041992","28.520683","77.000473","28.532070","77.013268","28.545925","77.041992","28.520683","77.000473","APPROXIMATE","Long name : Bajghera, Types : sublocality_level_1,sublocality,political, Short name : Bajghera","Long name : Bajghera, Types : sublocality_level_1,sublocality,political, Short name : Bajghera","Long name : Bajghera, Types : sublocality_level_1,sublocality,political, Short name : Bajghera","Long name : Bajghera, Types : sublocality_level_1,sublocality,political, Short name : Bajghera","Long name : Bajghera, Types : sublocality_level_1,sublocality,political, Short name : Bajghera",\N,\N,\N,\N,\N,"ChIJUxKaZw4aDTkRFjIRnNzaKqM","Bajghera, Gurgaon, Haryana, India","country,political"
"26","1.00","1","77.0147","28.4616","baldev nagar,baldevnagar",\N,\N,"baldev nagar","1.00,1185.00","","28.464169","77.018303","28.460054","77.010582","28.461605","77.014694","28.464169","77.018303","28.460054","77.010582","GEOMETRIC_CENTER","Long name : Baldev Nagar Road, Types : route, Short name : Baldev Nagar Rd","Long name : Baldev Nagar Road, Types : route, Short name : Baldev Nagar Rd","Long name : Baldev Nagar Road, Types : route, Short name : Baldev Nagar Rd","Long name : Baldev Nagar Road, Types : route, Short name : Baldev Nagar Rd","Long name : Baldev Nagar Road, Types : route, Short name : Baldev Nagar Rd","Long name : Baldev Nagar Road, Types : route, Short name : Baldev Nagar Rd",\N,\N,\N,\N,"ChIJl7iDASoYDTkRbTBacbEhXNk","Baldev Nagar Road, Gurgaon, Haryana 122001, India","postal_code"
"27","1.00","1","76.9845","28.4605","basai",\N,\N,"basai","1.00,1185.00","","28.467369","76.991158","28.452667","76.972488","28.460320","76.984406","28.467369","76.991158","28.452667","76.972488","APPROXIMATE","Long name : Basai Village, Types : sublocality_level_2,sublocality,political, Short name : Basai Village","Long name : Basai Village, Types : sublocality_level_2,sublocality,political, Short name : Basai Village","Long name : Basai Village, Types : sublocality_level_2,sublocality,political, Short name : Basai Village","Long name : Basai Village, Types : sublocality_level_2,sublocality,political, Short name : Basai Village","Long name : Basai Village, Types : sublocality_level_2,sublocality,political, Short name : Basai Village","Long name : Basai Village, Types : sublocality_level_2,sublocality,political, Short name : Basai Village",\N,\N,\N,\N,"ChIJN9-yK6EXDTkRllmSbzV1BxQ","Basai Village, Sector 9B, Gurgaon, Haryana, India","country,political"
"28","1.00","0","76.9813","28.4603","basai road,basai rd,basairoad,basaird",\N,\N,"basai road","1.00,930.00,37.00,454.00,1185.00,1223.00,94764.00,92974.00,815.00,40400.00,49841.00,934.00,302.00,93302.00,855.00,857.00,859.00,91856.00,92829.00","","28.499538","77.031570","28.456551","76.878525","28.472412","76.956184","28.499538","77.031570","28.456551","76.878525","GEOMETRIC_CENTER","Long name : Basai Road, Types : route, Short name : Basai Rd","Long name : Basai Road, Types : route, Short name : Basai Rd","Long name : Basai Road, Types : route, Short name : Basai Rd","Long name : Basai Road, Types : route, Short name : Basai Rd",\N,\N,\N,\N,\N,\N,"ChIJN4RThrcWDTkRsKqbpzKHJd0","Basai Road, Gurgaon, Haryana, India","country,political"
"29","1.00","1","76.8655","28.3612","baslambi",\N,\N,"baslambi","1.00,1185.00","","28.365442","76.872757","28.357208","76.858376","28.361179","76.865494","28.365442","76.872757","28.357208","76.858376","APPROXIMATE","Long name : Baslambi, Types : neighborhood,political, Short name : Baslambi","Long name : Baslambi, Types : neighborhood,political, Short name : Baslambi","Long name : Baslambi, Types : neighborhood,political, Short name : Baslambi","Long name : Baslambi, Types : neighborhood,political, Short name : Baslambi","Long name : Baslambi, Types : neighborhood,political, Short name : Baslambi","Long name : Baslambi, Types : neighborhood,political, Short name : Baslambi",\N,\N,\N,\N,"ChIJm0td7ak_DTkRVjKd9yNseHo","Baslambi, Gurgaon, Haryana 122503, India","postal_code"
"30","1.00","1","76.8005","28.2931","baspadamka",\N,\N,"baspadamka","1.00,1185.00","","28.305639","76.823776","28.290371","76.795891","28.293058","76.800461","28.305639","76.823776","28.290371","76.795891","APPROXIMATE","Long name : Baspadamka, Types : locality,political, Short name : Baspadamka","Long name : Baspadamka, Types : locality,political, Short name : Baspadamka","Long name : Baspadamka, Types : locality,political, Short name : Baspadamka","Long name : Baspadamka, Types : locality,political, Short name : Baspadamka","Long name : Baspadamka, Types : locality,political, Short name : Baspadamka",\N,\N,\N,\N,\N,"ChIJva4MI09HDTkRe6vIDG-40AQ","Baspadamka, Haryana 122503, India","postal_code"
"31","1.00","1","77.0555","28.4735","batachowk,bata chowk",\N,\N,"bata chowk","1.00,1185.00","",\N,\N,\N,\N,"28.473499","77.055458","28.474850","77.056808","28.472151","77.054108","APPROXIMATE","Long name : Maharana Pratap Chowk, Types : point_of_interest,establishment, Short name : Maharana Pratap Chowk","Long name : Maharana Pratap Chowk, Types : point_of_interest,establishment, Short name : Maharana Pratap Chowk","Long name : Maharana Pratap Chowk, Types : point_of_interest,establishment, Short name : Maharana Pratap Chowk","Long name : Maharana Pratap Chowk, Types : point_of_interest,establishment, Short name : Maharana Pratap Chowk","Long name : Maharana Pratap Chowk, Types : point_of_interest,establishment, Short name : Maharana Pratap Chowk","Long name : Maharana Pratap Chowk, Types : point_of_interest,establishment, Short name : Maharana Pratap Chowk","Long name : Maharana Pratap Chowk, Types : point_of_interest,establishment, Short name : Maharana Pratap Chowk","Long name : Maharana Pratap Chowk, Types : point_of_interest,establishment, Short name : Maharana Pratap Chowk",\N,\N,"ChIJ6zUfZKoZDTkRDc8L-qASVJk","Maharana Pratap Chowk, Maharana Partap Chowk, Sector 17, Gurgaon, Haryana 122001, India","postal_code"
"32","1.00","1","77.0147","28.4160","begampurkhatola,begampur khatola",\N,\N,"begampur khatola","1.00,1185.00","","28.422478","77.020782","28.410082","77.006073","28.416048","77.014702","28.422478","77.020782","28.410082","77.006073","APPROXIMATE","Long name : Begumpur Khatola, Types : sublocality_level_2,sublocality,political, Short name : Begumpur Khatola","Long name : Begumpur Khatola, Types : sublocality_level_2,sublocality,political, Short name : Begumpur Khatola","Long name : Begumpur Khatola, Types : sublocality_level_2,sublocality,political, Short name : Begumpur Khatola","Long name : Begumpur Khatola, Types : sublocality_level_2,sublocality,political, Short name : Begumpur Khatola","Long name : Begumpur Khatola, Types : sublocality_level_2,sublocality,political, Short name : Begumpur Khatola","Long name : Begumpur Khatola, Types : sublocality_level_2,sublocality,political, Short name : Begumpur Khatola","Long name : Begumpur Khatola, Types : sublocality_level_2,sublocality,political, Short name : Begumpur Khatola",\N,\N,\N,"ChIJz56nVKsiDTkRkC7V96ZWYP4","Begumpur Khatola, Sector 74, Gurgaon, Haryana 122004, India","postal_code"
